InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
577577,Waste management services,2017-01-26,45125,9025,54150,EUR
253251,Various paper supplies,2017-03-05,260884,52176.8,313061,CAD
923114,Various paper supplies,2017-04-09,260268,52053.6,312322,RON
406822,Various paper supplies,2017-04-11,146163,29232.6,175396,USD
693980,Concierge Services,2017-06-04,215453,43090.6,258544,RON
154033,Beverages and Catering,2017-06-24,70101,14020.2,84121.2,USD
801464,Concierge Services,2017-07-15,24069,4813.8,28882.8,RON
780431,Beverages and Catering,2017-07-22,63783,12756.6,76539.6,CAD
859252,Various paper supplies,2017-08-18,61288,12257.6,73545.6,CAD
166569,Various paper supplies,2017-09-20,216394,43278.8,259673,USD
888817,IT Support,2017-09-19,177027,35405.4,212432,EUR
557448,Waste management services,2017-10-25,66279,13255.8,79534.8,USD
915349,Professional Services,2017-11-22,290576,58115.2,348691,CAD
862037,Concierge Services,2017-12-27,38188,7637.6,45825.6,RON
