InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
121298,IT Support,122410,24482,146892,CAD,2017-02-01
592516,Waste management services,157027,31405.4,188432,RON,2017-03-12
762346,Waste management services,727,145.4,872.4,EUR,2017-05-16
242081,Waste management services,78383,15676.6,94059.6,CAD,2017-07-26
903599,Professional Services,287286,57457.2,344743,EUR,2017-08-09
952757,Professional Services,263292,52658.4,315950,EUR,2017-09-20
957057,Various paper supplies,289388,57877.6,347266,CAD,2017-09-10
119090,Concierge Services,207594,41518.8,249113,CAD,2017-10-11
987917,Professional Services,104219,20843.8,125063,EUR,2017-11-01
355919,Concierge Services,179730,35946,215676,EUR,2017-12-04
999269,Waste management services,238476,47695.2,286171,CAD,2017-12-01
285462,Beverages and Catering,159257,31851.4,191108,RON,2017-12-07
