InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
367119,Concierge Services,2017-01-28,2785,557,3342,EUR
127549,Concierge Services,2017-02-22,91927,18385.4,110312,USD
611276,IT Support,2017-04-13,214628,42925.6,257554,RON
762504,Professional Services,2017-04-23,169978,33995.6,203974,CAD
920333,Various paper supplies,2017-05-05,79947,15989.4,95936.4,RON
334433,Professional Services,2017-07-10,64957,12991.4,77948.4,EUR
254399,Various paper supplies,2017-07-16,3378,675.6,4053.6,EUR
828616,Waste management services,2017-09-04,22217,4443.4,26660.4,RON
855024,Waste management services,2017-09-15,238618,47723.6,286342,USD
962816,Concierge Services,2017-10-12,120415,24083,144498,RON
358916,IT Support,2017-10-18,124338,24867.6,149206,RON
375285,Waste management services,2017-10-18,6229,1245.8,7474.8,RON
858236,Waste management services,2017-10-20,71931,14386.2,86317.2,RON
242918,IT Support,2017-10-03,227379,45475.8,272855,USD
