InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
250276,Professional Services,107260,21452,128712,RON,2017-04-16
936614,IT Support,173553,34710.6,208264,USD,2017-04-27
345106,Waste management services,155226,31045.2,186271,CAD,2017-04-22
222365,Various paper supplies,171099,34219.8,205319,RON,2017-04-08
529029,Professional Services,51855,10371,62226,CAD,2017-05-05
597903,Beverages and Catering,114236,22847.2,137083,RON,2017-06-21
299770,Concierge Services,17098,3419.6,20517.6,CAD,2017-06-23
256760,Beverages and Catering,161301,32260.2,193561,USD,2017-07-06
355850,Various paper supplies,130635,26127,156762,USD,2017-11-04
202869,Beverages and Catering,268420,53684,322104,EUR,2017-12-21
