InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
118876,Various paper supplies,27698,5539.6,33237.6,RON,2017-01-07
882286,Various paper supplies,167107,33421.4,200528,USD,2017-01-26
111955,Beverages and Catering,142554,28510.8,171065,CAD,2017-02-18
521294,Beverages and Catering,5430,1086,6516,EUR,2017-02-07
436083,Beverages and Catering,213396,42679.2,256075,CAD,2017-03-24
517313,Various paper supplies,15459,3091.8,18550.8,CAD,2017-05-28
585433,Waste management services,273197,54639.4,327836,USD,2017-07-03
709970,Professional Services,120102,24020.4,144122,USD,2017-08-12
590077,Waste management services,250557,50111.4,300668,EUR,2017-09-04
405863,Various paper supplies,131692,26338.4,158030,EUR,2017-10-17
647323,Various paper supplies,297474,59494.8,356969,RON,2017-10-18
167128,Concierge Services,11463,2292.6,13755.6,USD,2017-11-16
885190,Various paper supplies,277516,55503.2,333019,USD,2017-12-05
