InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
633525,Concierge Services,2017-01-07,74495,14899,89394,RON
623616,Waste management services,2017-01-15,160933,32186.6,193120,RON
493930,IT Support,2017-02-25,297606,59521.2,357127,RON
611288,Various paper supplies,2017-05-02,181538,36307.6,217846,CAD
541332,Beverages and Catering,2017-06-01,167855,33571,201426,RON
942038,Concierge Services,2017-06-13,241864,48372.8,290237,CAD
694572,Waste management services,2017-07-26,57642,11528.4,69170.4,RON
926982,IT Support,2017-08-24,135877,27175.4,163052,USD
778712,Various paper supplies,2017-09-17,50848,10169.6,61017.6,EUR
418441,IT Support,2017-10-08,280792,56158.4,336950,RON
141193,Concierge Services,2017-12-21,72911,14582.2,87493.2,USD
841576,Professional Services,2017-12-13,107238,21447.6,128686,USD
543108,Beverages and Catering,2017-12-07,22748,4549.6,27297.6,EUR
637795,Various paper supplies,2017-12-07,70649,14129.8,84778.8,CAD
