InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
899336,Concierge Services,273269,54653.8,327923,CAD,2017-01-19
551596,Various paper supplies,246431,49286.2,295717,CAD,2017-03-06
569573,Various paper supplies,185199,37039.8,222239,RON,2017-05-22
655726,Professional Services,258817,51763.4,310580,RON,2017-05-26
182409,Waste management services,193388,38677.6,232066,RON,2017-06-25
607549,Beverages and Catering,104195,20839,125034,RON,2017-07-18
388408,Various paper supplies,266165,53233,319398,EUR,2017-08-05
451721,Professional Services,51647,10329.4,61976.4,RON,2017-10-01
285150,Concierge Services,21983,4396.6,26379.6,EUR,2017-10-13
683219,Professional Services,82727,16545.4,99272.4,EUR,2017-11-01
110458,Various paper supplies,205013,41002.6,246016,RON,2017-12-25
