InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
115259,Various paper supplies,60831,12166.2,72997.2,USD,2017-01-14
363266,Waste management services,68602,13720.4,82322.4,CAD,2017-01-23
424552,Concierge Services,69691,13938.2,83629.2,CAD,2017-01-13
479976,Beverages and Catering,140789,28157.8,168947,RON,2017-04-11
533350,Professional Services,143420,28684,172104,CAD,2017-04-16
322122,IT Support,63275,12655,75930,CAD,2017-06-26
422066,IT Support,7042,1408.4,8450.4,RON,2017-07-20
882107,Concierge Services,110604,22120.8,132725,EUR,2017-07-11
944250,Various paper supplies,138614,27722.8,166337,CAD,2017-08-23
305501,Concierge Services,141328,28265.6,169594,CAD,2017-08-19
738264,Concierge Services,191255,38251,229506,USD,2017-09-18
606965,Concierge Services,10442,2088.4,12530.4,CAD,2017-10-27
991127,Waste management services,245727,49145.4,294872,CAD,2017-10-22
357891,Beverages and Catering,173148,34629.6,207778,EUR,2017-11-05
